한글(국가명),영문(블룸버그),1차접종,2차접종,발생률순위,2차접종률순위,확진자비율(인구),일별접종수,치명(%),완치(%),발생률,인구수,치료중합계,치료중1일,위중증합계,위중증1일,확진자합계,확진자1일,사망자합계,사망자1일,완치합계,완치1일,백신접종수,백신보유율(인구)
스위스,Switzerland,68.2,66.4,32.0,46.0,0.11349889111274877,-999.0,1.2,87.2,113499,8654622,114160.0,-1800.0,179.0,,982290,,11488,2.0,856642.0,1798.0,11667889.0,136.5
카자흐스탄,Kazakhstan,46.6,43.1,86.0,88.0,0.05166465024990804,-999.0,1.3,96.3,51665,18776707,23439.0,-48.0,528.0,847.0,970092,847.0,12667,16.0,933986.0,879.0,16766179.0,90.0
쿠바,Cuba,89.5,80.4,59.0,10.0,0.0849386083186717,-999.0,0.9,99.0,84952,11326616,1028.0,-49.0,30.0,183.0,962067,183.0,8300,1.0,952739.0,231.0,27961410.0,246.7
모로코,Morocco,68.8,68.1,107.0,41.0,0.025728355245761645,-999.0,1.6,98.1,25728,36910560,2991.0,-56.0,347.0,116.0,949648,116.0,14774,1.0,931883.0,171.0,48719196.0,136.9
요르단,Jordan,40.8,37.8,51.0,98.5,0.09205926335966969,-999.0,1.2,93.5,92059,10203134,49622.0,,1037.0,,939293,,11515,,878156.0,,7912083.0,78.6
그리스,Greece,65.3,61.2,56.0,60.5,0.0883314045960042,11.0,1.9,89.2,88331,10423054,81542.0,-1322.0,641.0,5859.0,920683,5859.0,17861,82.0,821280.0,7099.0,14132796.0,131.8
조지아,Georgia,30.7,26.6,5.0,119.0,0.2102291029681134,-999.0,1.4,92.9,210229,3989167,47202.0,-1775.0,,3333.0,838639,3333.0,11927,56.0,779510.0,5052.0,2133935.0,57.3
네팔,Nepal,32.4,28.1,103.0,115.0,0.028173230231671224,-999.0,1.4,97.7,28173,29136808,6966.0,-190.0,,154.0,820878,154.0,11523,2.0,802389.0,342.0,17196376.0,60.4
아랍에미레이트,UAE,91.2,82.2,67.0,6.0,0.07501393775500732,27.1,0.3,99.3,75014,9890402,2994.0,-20.0,,60.0,741918,60.0,2146,1.0,736778.0,79.0,21817896.0,203.0
튀니지,Tunisia,60.6,43.0,77.0,90.0,0.06068077835489916,3.1,3.5,96.3,60681,11818619,1093.0,38.0,58.0,175.0,717163,175.0,25363,1.0,690707.0,136.0,11393466.0,96.7
불가리아,Bulgaria,26.4,25.2,45.0,123.0,0.09910533939608071,-999.0,4.1,80.7,99105,6948445,105142.0,24.0,783.0,1218.0,688628,1218.0,28043,47.0,555443.0,1147.0,3290556.0,47.3
슬로바키아,Slovakia,48.0,43.0,25.0,90.0,0.12234520138866248,-999.0,2.1,81.7,122345,5459642,107815.0,1725.0,545.0,7575.0,667961,7575.0,14274,46.0,545872.0,5804.0,5240923.0,96.2
레바논,Lebanon,29.4,26.9,46.0,118.0,0.0976885756166814,-999.0,1.3,94.7,97689,6825445,26773.0,852.0,186.0,1515.0,666768,1515.0,8701,8.0,631294.0,655.0,3858764.0,56.3
벨라루스,Belarus,36.0,27.0,72.0,117.0,0.0689826138867303,-999.0,0.8,98.0,68983,9449323,7941.0,-533.0,,1671.0,651839,1671.0,5054,13.0,638844.0,2191.0,5975709.0,63.1
과테말라,Guatemala,33.4,22.5,96.0,127.0,0.03446695075478489,-999.0,2.6,97.1,34467,17915568,1752.0,-68.0,5.0,458.0,617495,458.0,15917,19.0,599826.0,507.0,9880710.0,56.1
크로아티아,Croatia,53.1,47.2,18.0,82.0,0.14696145220274345,-999.0,1.8,92.5,146961,4105267,34326.0,-405.0,330.0,8841.0,603316,8841.0,10759,115.0,558231.0,9131.0,4073744.0,100.1
아제르바이잔,Azerbaijan,50.8,45.6,82.0,85.0,0.057774215796804806,8.1,1.3,94.2,57774,10139177,26252.0,-747.0,,1662.0,585783,1662.0,7807,18.0,551724.0,2391.0,10426930.0,104.5
코스타리카,Costa Rica,76.1,62.0,35.0,59.0,0.11121846804490984,0.6,1.3,96.0,111218,5094118,15398.0,,92.0,,566560,,7287,,543875.0,,7034279.0,138.6
