국가명,eng_code,발생률,인구수,확진자_합계,백신접종,접종가능률(인구),발생률_순위,접종률_순위,확진자비율(인구),1차접종,2차접종,위중증,치명(%),완치(%),확진자1일,사망자합계,사망자1일,완치합계,완치1일,접종비율(일간)
리비아,Libya,49174,6871292,337890,1546967.0,11.8,82.0,134.0,0.04917415822235469,20.7,2.5,,1.4,75.8,,4617,,256121.0,,11809.0
리투아니아,Lithuania,120449,2722289,327896,3339375.0,60.0,15.0,51.0,0.12044863715792115,61.8,58.2,"203
+11",1.5,91.3,1242.0,4946,16.0,299479.0,212.0,21363.0
대한민국,South Korea,5965,51269185,305842,61329870.0,59.3,129.0,54.0,0.005965415678053006,73.7,44.9,"324
+5",0.8,88.6,2289.0,2464,8.0,270928.0,1796.0,374506.0
오만,Oman,59473,5106626,303705,4636486.0,55.3,70.0,63.5,0.059472732093558446,67.0,43.5,"20
-2",1.3,97.9,32.0,4095,,297252.0,335.0,74904.0
이집트,Egypt,2954,102334404,302327,15057720.0,7.6,148.0,142.0,0.002954304595353875,9.7,5.5,90,5.7,84.4,702.0,17224,37.0,255059.0,588.0,299053.0
몽골,Mongolia,91181,3278290,298919,4545348.0,68.9,38.0,30.0,0.09118137809650763,68.3,64.5,192,0.4,95.2,2153.0,1242,17.0,284712.0,,16573.0
슬로베니아,Slovenia,139972,2078938,290994,2107230.0,52.0,12.0,67.5,0.1399724282301829,54.0,47.9,"74
+6",1.6,93.9,1039.0,4553,10.0,273303.0,1385.0,6696.0
몰도바,Moldova,71900,4033963,290043,1388566.0,25.9,57.0,109.0,0.07190026284326356,22.9,28.9,"160
-1",2.3,94.4,1018.0,6713,18.0,273920.0,661.0,3566.0
바레인,Bahrain,161543,1701575,274877,2561756.0,86.3,5.0,7.0,0.16154268839163716,78.4,74.9,"4
+1",0.5,99.2,63.0,1389,,272738.0,61.0,3352.0
아르메니아,Armenia,87667,2963243,259779,408535.0,6.9,40.0,143.0,0.08766712686067259,8.9,4.8,,2.0,92.7,772.0,5277,13.0,240730.0,425.0,5965.0
케냐,Kenya,4622,53771296,248515,3613357.0,3.8,135.0,153.0,0.004621703743201577,5.7,1.9,92,2.1,96.8,,5109,,240672.0,,34110.0
카타르,Qatar,82082,2881053,236482,4696753.0,84.0,47.0,8.0,0.08208179439947824,84.4,79.4,16,0.3,99.2,94.0,605,,234545.0,120.0,4560.0
잠비아,Zambia,11364,18383955,208912,702462.0,1.9,118.0,162.5,0.01136382242014844,1.8,2.1,"25
-3",1.7,98.1,55.0,3647,1.0,204847.0,102.0,6706.0
나이지리아,Nigeria,993,206139589,204752,6552979.0,1.6,163.0,165.0,0.000993268692313149,2.3,0.9,11,1.3,94.2,296.0,2690,13.0,192951.0,331.0,52334.0
알제리,Algeria,4627,43851044,202877,14082920.0,16.2,134.0,129.0,0.004626503305143658,13.9,9.6,18,2.9,68.5,155.0,5786,9.0,138961.0,109.0,292376.0
북마케도니아,North Macedonia,91198,2083374,189999,1495762.0,36.0,36.0,88.0,0.09119773982011871,37.6,34.3,,3.5,90.2,,6607,,171375.0,,6067.0
노르웨이,Norway,34668,5421241,187941,7747721.0,72.3,91.0,23.0,0.03466752354304116,77.2,67.5,"21
+2",0.5,47.3,724.0,851,1.0,88952.0,,18880.0
