한글(국가명),영문(블룸버그),1차접종,2차접종,발생률순위,2차접종률순위,확진자비율(인구),일별접종수,치명(%),완치(%),발생률,인구수,치료중합계,치료중1일,위중증합계,위중증1일,확진자합계,확진자1일,사망자합계,사망자1일,완치합계,완치1일,백신접종수,백신보유율(인구)
리투아니아,Lithuania,62.5,57.7,15.0,45.5,0.12117339488937434,21363.0,1.5,91.6,121173,2722289,22798.0,-673.0,214.0,1973.0,329869,1973.0,4965,19.0,302106.0,2627.0,3199916.0,57.5
대한민국,South Korea,74.5,46.3,129.0,64.0,0.0060216482863926935,533067.0,0.8,88.3,6022,51269185,33527.0,1079.0,331.0,2885.0,308725,2885.0,2474,10.0,272724.0,1796.0,62462920.0,60.4
오만,Oman,69.1,48.9,70.0,61.0,0.059479194286011935,38813.0,1.3,98.0,59479,5106626,2096.0,-262.0,20.0,33.0,303738,33.0,4096,1.0,297546.0,294.0,4946987.0,59.0
이집트,Egypt,9.7,5.5,148.0,141.0,0.00296132080859141,303446.0,5.7,84.4,2961,102334404,30124.0,80.0,90.0,718.0,303045,718.0,17263,39.0,255658.0,599.0,15057720.0,7.6
몽골,Mongolia,68.3,64.5,36.0,29.5,0.09194854634580833,16573.0,0.4,96.6,91949,3278290,8848.0,-4117.0,192.0,2515.0,301434,2515.0,1258,16.0,291328.0,6616.0,4545348.0,68.9
슬로베니아,Slovenia,54.1,48.1,12.0,63.0,0.14061650708198128,6460.0,1.6,94.0,140617,2078938,13112.0,-26.0,74.0,1339.0,292333,1339.0,4556,3.0,274665.0,1362.0,2113404.0,52.1
몰도바,Moldova,22.9,29.0,57.0,87.5,0.07219996812067934,3561.0,2.3,94.5,72200,4033963,9405.0,-5.0,174.0,1209.0,291252,1209.0,6732,19.0,275115.0,1195.0,1392707.0,26.0
바레인,Bahrain,78.4,75.0,5.0,11.0,0.16157089755079854,3999.0,0.5,99.2,161571,1701575,733.0,-17.0,5.0,48.0,274925,48.0,1389,,272803.0,65.0,2568320.0,86.5
아르메니아,Armenia,8.9,4.8,40.0,143.0,0.08796949828279355,5965.0,2.0,92.5,87969,2963243,14185.0,413.0,,896.0,260675,896.0,5299,22.0,241191.0,461.0,408535.0,6.9
케냐,Kenya,5.7,1.9,135.0,155.0,0.00462644605032395,30756.0,2.1,96.9,4626,53771296,2474.0,-260.0,92.0,255.0,248770,255.0,5116,7.0,241180.0,508.0,3613357.0,3.8
카타르,Qatar,84.4,79.4,48.0,4.0,0.08210817364345606,4415.0,0.3,99.2,82108,2881053,1282.0,-50.0,15.0,76.0,236558,76.0,605,,234671.0,126.0,4702517.0,84.1
잠비아,Zambia,1.8,2.1,118.0,154.0,0.01136382242014844,6903.0,1.7,98.1,11364,18383955,418.0,,25.0,,208912,,3647,,204847.0,,711264.0,1.9
나이지리아,Nigeria,2.3,0.9,163.0,162.0,0.000994699761432046,59719.0,1.3,94.3,995,206139589,9092.0,-19.0,11.0,295.0,205047,295.0,2695,5.0,193260.0,309.0,6552979.0,1.6
알제리,Algeria,13.9,9.3,134.0,133.0,0.0046303344568033545,292376.0,2.9,68.5,4630,43851044,58171.0,41.0,14.0,168.0,203045,168.0,5797,11.0,139077.0,116.0,14082920.0,16.2
북마케도니아,North Macedonia,37.6,34.3,37.0,82.0,0.09142045547270918,5856.0,3.5,90.2,91637,2083374,11962.0,-55.0,,464.0,190463,464.0,6630,23.0,171871.0,496.0,1495762.0,36.0
노르웨이,Norway,77.2,67.6,91.0,23.0,0.03473282224494355,17426.0,0.5,47.2,34733,5421241,98482.0,344.0,23.0,354.0,188295,354.0,861,10.0,88952.0,,7757255.0,72.4
키르기스스탄,Kyrgyzstan,12.7,9.5,98.0,130.5,0.02735111381557418,10359.0,1.5,97.0,27351,6524195,2737.0,-29.0,131.0,69.0,178444,69.0,2605,1.0,173102.0,97.0,1422970.0,11.1
보츠와나,Botswana,17.2,9.5,54.0,130.5,0.07571353790375769,2729.0,1.3,97.2,75714,2351627,2679.0,,1.0,,178050,,2367,,173004.0,,606699.0,12.8
우즈베키스탄,Uzbekistan,29.4,11.1,131.0,128.0,0.005181151161561869,155946.0,0.7,97.1,5181,33469203,3816.0,-153.0,23.0,510.0,173409,510.0,1234,4.0,168359.0,659.0,18526940.0,27.9
알바니아,Albania,32.7,27.0,72.0,96.0,0.05864972407713261,8220.0,1.6,92.2,58650,2877797,10436.0,-405.0,3.0,594.0,168782,594.0,2668,15.0,155678.0,984.0,1715133.0,29.9
라트비아,Latvia,47.4,43.5,45.0,68.0,0.08328022826871834,4283.0,1.7,92.4,83280,1886198,9210.0,745.0,61.0,1203.0,157083,1203.0,2706,6.0,145167.0,452.0,1621953.0,42.2
에스토니아,Estonia,57.0,45.7,16.0,65.0,0.11719932003301835,3361.0,0.9,92.2,117199,1326535,10801.0,101.0,18.0,747.0,155469,747.0,1352,1.0,143316.0,645.0,1361564.0,51.4
아프가니스탄,Afghanistan,2.6,1.2,140.0,159.5,0.0039861441839835685,765279.0,4.6,80.3,3986,38928346,23339.0,-223.0,1124.0,46.0,155174,46.0,7204,,124631.0,269.0,3133227.0,4.2
모잠비크,Mozambique,6.1,5.6,132.0,140.0,0.004817466146287838,54234.0,1.3,97.5,4817,31255435,1817.0,-225.0,32.0,32.0,150572,32.0,1912,2.0,146843.0,255.0,3644423.0,5.8
핀란드,Finland,74.8,61.6,101.0,37.0,0.025427922724844426,20879.0,0.8,32.6,25428,5540720,93827.0,802.0,25.0,802.0,140889,802.0,1062,,46000.0,,7523959.0,68.2
몬테네그로,Montenegro,38.6,33.7,2.0,83.0,0.20778071094439118,2132.0,1.5,93.0,207781,628066,7223.0,,,,130500,,1914,,121363.0,,452830.0,36.3
짐바브웨,Zimbabwe,20.5,14.8,121.0,122.0,0.008764897135987508,31282.0,3.5,94.1,8765,14862924,3036.0,170.0,12.0,353.0,130272,353.0,4615,8.0,122621.0,175.0,5263782.0,17.7
나미비아,Namibia,10.5,6.5,80.0,139.0,0.050176216741672754,4761.0,2.7,96.3,50176,2540905,1211.0,85.0,18.0,120.0,127493,120.0,3494,,122788.0,35.0,407502.0,8.3
가나,Ghana,2.9,2.5,138.0,150.5,0.00408767242494595,3330.0,0.9,96.4,4088,31072940,3410.0,,42.0,,127016,,1150,,122456.0,,1653422.0,2.7
우간다,Uganda,4.1,1.0,149.0,161.0,0.0026987818610989477,90201.0,2.6,77.8,2699,45741007,24210.0,170.0,268.0,200.0,123445,200.0,3152,6.0,96083.0,24.0,2058553.0,2.6
키프로스,Cyprus,67.9,63.1,32.0,34.0,0.09798079941425873,1090.0,0.5,76.7,97981,1207359,26990.0,117.0,33.0,117.0,118298,117.0,553,,90755.0,,1147010.0,65.5
캄보디아,Cambodia,79.6,66.0,127.0,27.0,0.006679420645955058,213009.0,2.1,91.5,6679,16718965,7149.0,334.0,,881.0,111673,881.0,2302,15.0,102222.0,532.0,23830570.0,72.2
코소보,Kosovo,43.3,28.1,71.0,93.0,0.059380942885880576,15384.0,2.1,98.0,59381,1810463,-85.0,,,,107507,,2269,,105323.0,,1283840.0,35.7
엘살바도르,El Salvador,62.8,51.6,107.0,58.5,0.016087681471677197,32549.0,3.1,83.2,16088,6486205,14275.0,-11.0,127.0,,104348,,3222,11.0,86851.0,,7396969.0,57.3
호주,Australia,63.1,41.9,139.0,70.5,0.004028606561504358,285221.0,1.2,72.8,4029,25499884,26670.0,1788.0,301.0,1810.0,102729,1810.0,1278,22.0,74781.0,,27109766.0,53.1
르완다,Rwanda,16.9,13.2,125.0,124.5,0.007503734109478392,54654.0,1.3,46.8,7504,12952218,50462.0,203.0,11.0,208.0,97190,208.0,1259,1.0,45469.0,4.0,3740279.0,15.1
중국,Mainland China,78.6,73.0,176.0,18.0,6.677163373698066e-05,3171286.0,4.8,94.2,67,1439323776,949.0,-33.0,,25.0,96106,25.0,4636,,90521.0,58.0,2203185000.0,78.7
싱가포르,Singapore,82.1,79.2,110.0,5.0,0.015687117095034786,23733.0,0.1,83.1,15687,5850342,15469.0,1186.0,30.0,2236.0,91775,2236.0,85,5.0,76221.0,1045.0,9306870.0,81.6
카메룬,Cameroon,1.5,0.3,143.0,172.0,0.0032176011757462926,995.0,1.6,94.2,3218,26545863,3613.0,,152.0,,85414,,1368,,80433.0,,461201.0,0.9
몰디브,Maldives,105.3,90.3,8.0,2.0,0.15647014859104902,759.0,0.3,97.9,156470,540544,1579.0,2.0,23.0,95.0,84579,95.0,231,,82769.0,93.0,727664.0,97.8
자메이카,Jamaica,19.3,8.9,96.0,134.0,0.028144984730682193,4756.0,2.2,63.0,28145,2961167,28952.0,55.0,42.0,312.0,83342,312.0,1859,18.0,52531.0,239.0,743184.0,13.6
룩셈부르크,Luxembourg,68.1,65.1,14.0,28.0,0.12460182306726435,592.0,1.1,97.5,124602,625978,1131.0,62.0,8.0,68.0,77998,68.0,835,,76032.0,6.0,784482.0,63.9
세네갈,Senegal,7.6,3.5,136.0,147.0,0.004405418155490047,2395.0,2.5,97.3,4405,16743927,154.0,-54.0,7.0,7.0,73764,7.0,1858,3.0,71752.0,58.0,1784832.0,5.5
말라위,Malawi,3.9,2.4,144.0,152.5,0.003216317531795166,7915.0,3.7,88.9,3216,19129952,4526.0,-45.0,67.0,11.0,61528,11.0,2279,1.0,54723.0,55.0,1087426.0,2.7
코트디부아르,Ivory Coast,5.6,1.4,152.0,156.5,0.0022753573641702256,33239.0,1.0,96.2,2275,26378274,1692.0,-72.0,,43.0,60020,43.0,611,4.0,57717.0,111.0,1968171.0,3.7
콩고민주공화국,DR Congo,0.1,0.05,170.0,176.5,0.000634894029071876,432.0,1.9,54.3,635,89561403,24920.0,,,,56862,,1084,,30858.0,,134945.0,0.1
앙골라,Angola,7.1,3.3,157.0,148.0,0.001705091468846847,44858.0,2.7,84.6,1705,32866272,7093.0,351.0,8.0,457.0,56040,457.0,1526,13.0,47421.0,93.0,3134137.0,5.2
