국가,위중증,치명(%),완치(%),발생률,인구수,확진자_합계,확진자1일,사망자합계,사망자1일,완치합계,완치1일
모리셔스🇲🇺,N/A,0.4,40.4,3611,1271768,4592,,20,,1854,
바베이도스🇧🇧,N/A,1.1,96.7,15502,287375,4455,+12,48,,4310,+59
코모로🇰🇲,N/A,3.6,96.1,4635,869601,4031,+1,147,,3875,+2
리히텐슈타인🇱🇮,1,1.9,97.5,81279,38128,3099,+5,59,,3022,
모나코🇲🇨,"6
+3",1.1,93.8,75761,39242,2973,+12,33,,2790,+20
신트마르턴🇸🇽,2,1.2,92.4,68803,42876,2924,+33,34,,2703,+13
뉴질랜드🇳🇿,N/A,0.9,98.1,598,4822233,2880,,26,,2824,
세인트마틴 섬🇲🇫,7,1.4,51.6,70165,38666,2713,+134,39,+1,1399,
버뮤다🇧🇲,N/A,1.3,96.0,41973,62278,2614,+25,33,,2510,+7
부탄🇧🇹,N/A,0.1,96.7,3297,771608,2544,,2,,2460,
터크스 케이커스 제도🇹🇨,"1
+1",0.7,97.0,64933,38717,2514,+15,18,,2439,+1
영국령 버진아일랜드🇻🇬,27,1.2,76.6,82697,30231,2500,,31,,1914,
상투메 프린시페🇸🇹,N/A,1.5,95.9,11270,219159,2468,+3,37,,2368,+3
세인트빈센트 그레나딘🇻🇨,2,0.5,97.2,20714,110940,2298,,12,,2233,
카리브 네덜란드🇧🇶,N/A,1.0,97.6,65591,26223,1715,+2,17,,1673,
생바르텔레미🇧🇱,N/A,0.1,34.6,135264,9877,1336,+141,2,+1,462,
앤티가 바부다🇦🇬,4,3.2,93.8,13561,97929,1328,+8,43,,1246,+2
탄자니아🇹🇿,7,2.1,18.0,17,59734218,1017,,21,,183,
페로 제도🇫🇴,N/A,0.2,97.6,20199,48863,987,,2,,963,
케이맨 제도🇰🇾,N/A,0.3,98.9,9829,65722,646,+2,2,,639,+4
세인트키츠 네비스🇰🇳,1,0.5,91.3,11485,53199,611,+8,3,,558,+9
왈리스 퓌티나🇼🇫,N/A,1.6,98.4,-,-,445,,7,,438,
브루나이🇧🇳,N/A,0.9,85.3,775,437479,339,,3,,289,
도미니카 연방🇩🇲,N/A,-,95.9,5098,71986,218,,0,,209,
그린란드🇬🇱,N/A,-,60.1,2959,56770,168,+17,0,,101,+11
그레나다🇬🇩,N/A,0.6,98.2,1457,112523,164,,1,,161,
뉴칼레도니아🇳🇨,N/A,-,43.3,469,285498,134,,0,,58,
앵귈라🇦🇮,N/A,-,98.2,7532,15003,113,,0,,111,
포클랜드 제도🇫🇰,N/A,-,95.5,18966,3480,66,,0,,63,
마카오🇲🇴,N/A,-,90.5,97,649335,63,,0,,57,+1
생피에르 미클롱🇵🇲,N/A,-,92.9,4833,5794,28,,0,,26,
바티칸 시국🇻🇦,N/A,-,100,33708,801,27,,0,,27,
몬트세랫🇲🇸,N/A,4.5,90.9,4407,4992,22,+1,1,,20,
솔로몬 제도🇸🇧,N/A,-,100,29,686884,20,,0,,20,
서사하라🇪🇭,N/A,10,80,17,597339,10,,1,,8,
잔담(크루즈)🚢,N/A,22.2,77.8,-,-,9,,2,,7,
마셜 제도🇲🇭,N/A,-,100,68,59190,4,,0,,4,
바누아투🇻🇺,N/A,25,75,13,307145,4,,1,,3,
사모아🇼🇸,N/A,-,100,15,198414,3,,0,,3,
세인트헬레나🇸🇭,N/A,-,100,329,6077,2,,0,,2,
미크로네시아🇫🇲,N/A,-,100,9,115023,1,,0,,1,
