국가명,eng_code,발생률,인구수,확진자_합계,백신접종,접종률(인구),발생률_순위,접종률_순위,확진자비율_전체인구,1차접종,2차접종,위중증,치명(%),완치(%),확진자1일,사망자합계,사망자1일,완치합계,완치1일,접종비율(일간)
카자흐스탄,Kazakhstan,33777,18776707,626412,10004227.0,26.8,85.0,82.0,0.033361121308438164,30.2,22.7,221,1.1,82.1,7899.0,6659,128.0,514299.0,6638.0,284670.0
튀니지,Tunisia,51454,11818619,608114,3111252.0,13.2,65.0,114.0,0.05145389660162494,16.3,9.6,630,3.4,88.7,2909.0,20809,130.0,539339.0,4018.0,50236.0
레바논,Lebanon,83525,6825445,568505,2441010.0,17.8,35.0,101.0,0.08329200513666142,30.5,17.1,54,1.4,94.7,1461.0,7932,6.0,538434.0,395.0,16639.0
사우디아라비아,Saudi Arabia,15304,34813871,532785,29559988.0,43.4,102.0,54.0,0.015303813816050504,58.2,28.5,1404,1.6,96.5,850.0,8320,9.0,514362.0,975.0,404891.0
그리스,Greece,49155,10423054,509596,10806193.0,50.4,66.0,45.0,0.04889123667593011,54.0,50.0,"191
-1",2.6,90.8,2924.0,13021,21.0,462919.0,1541.0,47182.0
에콰도르,Ecuador,27840,17643054,491185,12384109.0,35.9,89.0,68.0,0.027840134706837036,55.2,16.6,759,6.5,90.4,829.0,31774,20.0,443880.0,,329924.0
볼리비아,Bolivia,40886,11673021,477262,4714133.0,20.4,76.0,96.5,0.04088590262966202,26.5,15.5,200,3.8,86.7,467.0,17959,24.0,413821.0,912.0,66702.0
파라과이,Paraguay,63773,7132538,454542,2445978.0,17.1,54.0,104.0,0.06372794648973479,30.0,4.2,"292
-5",3.4,93.7,348.0,15238,31.0,425858.0,909.0,45997.0
벨라루스,Belarus,47935,9449323,452953,2380101.0,12.6,68.0,115.0,0.047934968462820034,14.8,10.4,,0.8,98.7,1213.0,3523,10.0,447059.0,1169.0,26444.0
조지아,Georgia,112282,3989167,444569,606988.0,8.1,12.0,123.0,0.11144406839823953,11.2,5.1,,1.4,89.4,4216.0,6054,38.0,397240.0,1735.0,17914.0
파나마,Panama,102280,4314767,440494,2943308.0,34.9,20.0,70.0,0.10208986951091449,52.3,18.2,133,1.6,95.9,895.0,6885,10.0,422467.0,1204.0,63456.0
쿠바,Cuba,39623,11326616,439899,10713247.0,47.3,78.0,49.0,0.03883763694293159,40.6,-999.0,407,0.7,88.8,8886.0,3259,75.0,390505.0,8364.0,191593.0
불가리아,Bulgaria,61578,6948445,427481,2088021.0,15.0,56.0,108.0,0.06152182250848931,15.9,14.9,"91
+2",4.3,93.3,549.0,18251,8.0,398857.0,89.0,9011.0
코스타리카,Costa Rica,81796,5094118,416677,3424278.0,33.7,37.0,71.0,0.0817957102681956,50.7,16.8,380,1.2,81.0,1932.0,5124,16.0,337423.0,1913.0,58889.0
쿠웨이트,Kuwait,94319,4270571,402293,2380000.0,25.1,28.0,85.0,0.0942012203988647,30.6,19.4,"256
-15",0.6,97.1,596.0,2361,5.0,390759.0,961.0,12990.0
슬로바키아,Slovakia,71984,5459642,393007,4356585.0,40.0,47.0,57.5,0.07198402386090516,42.1,37.3,8,3.2,96.6,44.0,12541,,379761.0,43.0,18526.0
과테말라,Guatemala,21741,17915568,385512,2557374.0,7.3,97.0,126.0,0.021518268357441975,12.5,2.1,5,2.8,87.3,3998.0,10644,66.0,336444.0,2486.0,87243.0
우루과이,Uruguay,110072,3473730,382295,4880810.0,69.3,15.0,10.0,0.1100531705112372,73.8,64.9,35,1.6,98.0,140.0,5986,4.0,374567.0,181.0,13448.0
크로아티아,Croatia,88869,4105267,364832,3118842.0,38.3,30.0,61.0,0.08886925016082997,40.8,37.2,"18
+2",2.3,97.4,233.0,8271,1.0,355360.0,170.0,7169.0
아제르바이잔,Azerbaijan,34579,10139177,350605,5370768.0,26.9,84.0,81.0,0.0345792365593381,31.4,22.5,,1.4,95.5,1289.0,5056,5.0,334667.0,409.0,56915.0
스리랑카,Sri Lanka,15273,21413249,326043,13456322.0,30.9,103.0,72.0,0.015226227463193465,49.4,12.3,,1.5,89.2,4614.0,5017,196.0,290794.0,4429.0,315166.0
덴마크,Denmark,55759,5792202,322965,7697063.0,66.3,61.0,15.0,0.05575858714872168,73.6,58.9,12,0.8,95.5,946.0,2552,,308549.0,726.0,46292.0
미얀마,Myanmar,6001,54409800,322838,3500000.0,3.3,120.0,138.5,0.005933453164687244,3.5,2.9,,3.5,72.6,,11262,,234454.0,,3666.0
베네수엘라,Venezuela,10976,28435940,310960,3612473.0,6.5,110.0,128.0,0.010935457030785689,13.0,0.8,681,1.2,95.4,979.0,3682,16.0,296599.0,1011.0,61871.0
아일랜드,Ireland,62908,4937786,310628,6078493.0,61.4,55.0,25.5,0.06290835609319642,68.9,58.4,"33
+5",1.6,87.3,3609.0,5044,,271060.0,1066.0,36497.0
온두라스,Honduras,30888,9904607,305936,2108280.0,10.8,87.0,117.0,0.03088825230521514,18.5,3.0,662,2.7,33.7,1755.0,8120,68.0,103110.0,244.0,43888.0
오만,Oman,58359,5106626,298020,1887421.0,22.5,59.0,89.0,0.05835947257543435,37.0,8.0,189,1.3,94.9,,3906,,282763.0,,7562.0
리투아니아,Lithuania,104958,2722289,285726,2671867.0,48.0,18.0,48.0,0.10495799674465128,53.3,46.5,"50
+12",1.5,94.7,517.0,4424,,270697.0,476.0,14563.0
이집트,Egypt,2781,102334404,284580,5649322.0,2.8,140.0,144.0,0.002780882957016098,3.9,1.8,90,5.8,81.7,57.0,16562,5.0,232601.0,321.0,27488.0
에티오피아,Ethiopia,2467,114963588,283082,2250893.0,1.2,141.0,158.5,0.002462362256821699,2.3,-999.0,"276
+6",1.6,93.3,584.0,4415,9.0,264225.0,60.0,8178.0
바레인,Bahrain,158647,1701575,269848,2357620.0,79.4,4.0,5.0,0.1585871912786683,75.2,71.6,4,0.5,99.1,111.0,1384,,267406.0,105.0,28288.0
리비아,Libya,38541,6871292,264827,737417.0,5.6,80.0,129.0,0.038541077864250275,10.4,-999.0,,1.4,74.6,1879.0,3689,26.0,197563.0,849.0,18908.0
몰도바,Moldova,64590,4033963,260424,1093742.0,20.4,51.0,96.5,0.06455785538935285,22.8,19.8,"84
-2",2.4,97.0,241.0,6275,5.0,252693.0,145.0,7301.0
슬로베니아,Slovenia,125084,2078938,260041,1769537.0,43.8,9.0,53.0,0.12508357632598952,45.4,40.2,"8
+1",1.7,97.8,132.0,4431,1.0,254192.0,92.0,19093.0
아르메니아,Armenia,78267,2963243,231923,173017.0,2.9,39.0,141.5,0.07826661532651895,4.1,1.7,,2.0,95.3,298.0,4641,5.0,221043.0,218.0,2766.0
카타르,Qatar,78954,2881053,227472,3942271.0,70.5,38.0,9.0,0.07895446560684583,76.1,64.9,"22
-2",0.3,98.8,199.0,601,,224703.0,173.0,23115.0
