키워드,언론사,기사명,날짜,URL
연합뉴스,"인권위, 작년 정책권고 4배로 늘어…""적극적 인권보호 노력""",2017.06.25.,http://app.yonhapnews.co.kr/YNA/Basic/SNS/r.aspx?c=AKR20170624059900004&did=1195m,학부모 인권보호연대
뉴시스,"제주시민단체, 교육감에게 '학생 인권 보호' 당부",2016.06.09.,http://www.newsis.com/ar_detail/view.html?ar_id=NISX20160609_0014139930&cID=10813&pID=10800,학부모 인권보호연대
여성신문,충남인권조례 정당 횡포에 오락가락,2018.01.31.,http://www.womennews.co.kr/news/129495,학부모 인권보호연대
여성신문,충남인권조례 정당 횡포에 오락가락,2018.01.31.,http://www.womennews.co.kr/news/129495,학부모 인권보호연대
국제뉴스,"서거석, 학생안전·학력증진·학생 및 교사 인권보장 등 1차 공약 발표",2018.04.03.,http://www.gukjenews.com/news/articleView.html?idxno=901189,학부모 인권보호연대
여성신문,"충남인권조례, 폐지하려는 자와 지켜내려는 자",2018.01.29.,http://www.womennews.co.kr/news/129398,학부모 인권보호연대
한겨레,"고양시, ‘인권 조례’ 개정하려다 기독교계 반발에 취소",2018.04.13.,http://www.hani.co.kr/arti/society/area/840495.html,학부모 인권보호연대
경남도민일보,보수단체 압력에 학생 노동인권 교육 조례안 좌초 우려,2018.04.06.,http://www.idomin.com/?mod=news&act=articleView&idxno=563302,학부모 인권보호연대
주간경향,[표지 이야기]또 하나의 지방선거 ‘학부모들의 교육감 선거’,2018.05.23.,http://weekly.khan.co.kr/khnm.html?mode=view&code=115&artid=201805211610201&pt=nv,학부모 인권보호연대
경향신문,학부모들이 보는 6·13 교육감 선거,2018.05.20.,http://news.khan.co.kr/kh_news/khan_art_view.html?artid=201805200958001&code=910110,학부모 인권보호연대
뉴스1,인천교육감 후보 첫 토론회…학생인권·교권침해 다뤄,2018.06.02.,http://news1.kr/articles/?3334529,학부모 인권보호연대
뉴스1,"충남 기교독계 ""동성애 조장 충남인권조례 폐지 마땅""",2018.01.23.,http://news1.kr/articles/?3214634,학부모 인권보호연대
크리스천투데이,"“동성애 옹호·조장하는 인권조례, 마땅히 폐지돼야”",2018.02.05.,http://www.christiantoday.co.kr/news/309172,학부모 인권보호연대
일요신문,"경남도, 여성·아동인권 보호에 적극 나서",2016.03.21.,http://ilyo.co.kr/?ac=article_view&entry_id=171237,학부모 인권보호연대
노컷뉴스,여수 장애 학생 차별·인권침해 파장,2017.12.01.,http://www.nocutnews.co.kr/news/4886330,학부모 인권보호연대
충청매일,'아산시인권조례' 놓고 찬반 대립 첨예,2018.01.18.,http://www.ccdn.co.kr/news/articleView.html?idxno=502379,학부모 인권보호연대
프레시안,울산 '학생인권조례' 제정 놓고 찬반 갈등 증폭,2017.09.15.,http://www.pressian.com/news/article.html?no=169477&ref=nav_search,학부모 인권보호연대
뉴시스,"""학생도 권리 주체"" vs ""동성애 옹호 안돼"" 울산학생인권조례 찬반 논란 가열",2017.09.14.,http://www.newsis.com/view/?id=NISX20170914_0000095613&cID=10814&pID=10800,학부모 인권보호연대
뉴시스,"경남도, 아동·여성인권 보호에 적극 나서",2016.03.20.,http://www.newsis.com/ar_detail/view.html?ar_id=NISX20160320_0013969513&cID=10812&pID=10800,학부모 인권보호연대
경향신문,"“촛불집회 때 목소리 키웠지만 청소년 인권, 달라진 게 없어”",A10면 2단,http://news.khan.co.kr/kh_news/khan_art_view.html?artid=201711192220015&code=940100,학부모 인권보호연대
뉴스1,"충남기독교聯, 천안서 '인권조례 폐지' 대규모 시국기도회",2018.01.28.,http://news1.kr/articles/?3219389,학부모 인권보호연대
경향신문,짓밟힌 성소수자 인권…보수결집의 제물로 삼는 야권,2018.02.04.,http://news.khan.co.kr/kh_news/khan_art_view.html?artid=201802041049011&code=940100,학부모 인권보호연대
뉴시스,울산서 7년만에 학생인권조례 재추진...일부 반대 집회,2017.07.24.,http://www.newsis.com/view/?id=NISX20170724_0000049209&cID=10814&pID=10800,학부모 인권보호연대
뉴시스,울산서 7년만에 학생인권조례 재추진...일부 반대 집회,2017.07.24.,http://www.newsis.com/view/?id=NISX20170724_0000049209&cID=10814&pID=10800,학부모 인권보호연대
천지일보,"개신교-시민단체, '충남인권조례안 존폐' 찬반 갈등 확산",2018.01.25.,http://www.newscj.com/news/articleView.html?idxno=486825,학부모 인권보호연대
굿모닝충청,인권조례 '충돌의 장' 충남도청 프레스센터,2018.01.24.,http://www.goodmorningcc.com/news/articleView.html?idxno=81220,학부모 인권보호연대
부산일보,"""부산교육 1순위는 개혁"" 학부모연대준비위 토론",2014.04.21.,http://news20.busan.com/controller/newsController.jsp?newsId=20140421000149,학부모 인권보호연대
제민일보,"""상대방 배려하고 존중하는 인권의식·인성 중요""",2017.11.08.,http://www.jemin.com/news/articleView.html?idxno=478567,학부모 인권보호연대
연합뉴스,"교원ㆍ학부모단체 ""학생인권조례 제정 반대 운동""",2011.12.07.,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=001&aid=0005407547,학부모 인권보호연대
경향신문,“인권은 합의의 대상 아냐”···시민단체들 차별금지법 유보 문재인·안철...,2017.04.25.,http://news.khan.co.kr/kh_news/khan_art_view.html?artid=201704251657011&code=940100,학부모 인권보호연대
뉴시스,"학부모단체 ""학생인권조례 시행되면 시민불복종운동""",2012.01.05.,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=003&aid=0004279593,학부모 인권보호연대
오마이뉴스,"자유한국당 반대로, 대구 '청소년 노동인권 조례안' 부결",2017.06.30.,http://www.ohmynews.com/NWS_Web/View/at_pg.aspx?CNTN_CD=A0002338603,학부모 인권보호연대
강원일보,학생인권조례 제정 저지 범국민연대 결성,2011.12.08.,http://www.kwnews.co.kr/view.asp?aid=211120700068&s=501,학부모 인권보호연대
강원일보,학생인권조례 제정 저지 범국민연대 결성,2011.12.08.,http://www.kwnews.co.kr/view.asp?aid=211120700068&s=501,학부모 인권보호연대
충청일보,"교사·학부모 ""학생인권조례 동의""",2010.11.26.,http://www.ccdailynews.com/section/?knum=185658,학부모 인권보호연대
뉴스1,인권 경찰 외치더니…'용의자'사진 잇단 SNS유출 논란,2017.06.23.,http://news1.kr/articles/?3029288,학부모 인권보호연대
금강일보,동부교육청 특수교육지원센터 장애학생 인권보호 연수,2014.09.30.,http://www.ggilbo.com/news/articleView.html?idxno=196651,학부모 인권보호연대
국민일보,‘유엔 동성애자 인권조사관制’ 잘못돼 따를 필요 없다,2017.01.07.,http://news.kmib.co.kr/article/view.asp?arcid=0011183046&code=61221111&cp=nv,학부모 인권보호연대
울산매일신문,학생인권 조례안 발의 놓고 울산시의원 간 대립,2017.06.28.,http://www.iusm.co.kr/news/articleView.html?idxno=748239,학부모 인권보호연대
베타뉴스,전국 장애인부모연대 용산지회 창립대회 성황리에 개최,2017.07.12.,http://www.betanews.net:8080/article/721436.html,학부모 인권보호연대
기호일보,장애학생 인권보호 인력풀 구축,2013.08.11.,http://www.kihoilbo.co.kr/news/articleView.html?idxno=523719,학부모 인권보호연대
부산일보,"[신문 보고 생각 키우고] 인권, 어떻게 보호하고 지켜가야 할까?",2011.12.21.,http://news20.busan.com/news/newsController.jsp?subSectionId=1010010000&newsId=20111220000205,학부모 인권보호연대
오마이뉴스,"""대전시의회는 학생인권조례 즉각 제정하라""",2016.10.20.,http://www.ohmynews.com/NWS_Web/View/at_pg.aspx?CNTN_CD=A0002252975,학부모 인권보호연대
국민일보,부산학생인권조례제정반대시민연합 창립총회 열고 출범,2016.06.18.,http://news.kmib.co.kr/article/view.asp?arcid=0010713769&code=61221111&cp=nv,학부모 인권보호연대
뉴스1,"제주시민단체, 이석문 교육감에 ‘인권 교육’ 필요성 강조",2016.06.09.,http://news1.kr/articles/?2686608,학부모 인권보호연대
