키워드,언론사,기사명,날짜,URL
일요신문,[포항시정] 코로나19 백신 예방접종 모의훈련 실시 外,2021.03.18.,https://ilyo.co.kr/?ac=article_view&entry_id=395835,이강덕 시장 백신
경북도민일보,"포항시 북구, 75세 이상 어르신 백신접종 '순항'",2021.04.08.,http://www.hidomin.com/news/articleView.html?idxno=449905,이강덕 시장 백신
더팩트,포항 북구 예방접종센터 화이자 백신 4.000여명분,2021.04.05.,http://news.tf.co.kr/read/national/1852335.htm,이강덕 시장 백신
쿠키뉴스,"이강덕 포항시장, 새해부터 스킨십 '강화'",2021.01.11.,http://www.kukinews.com/newsView/kuk202101110283,이강덕 시장 백신
대구신문,"포항, 백신 예방접종 모의훈련",2021.03.21.,http://www.idaegu.co.kr/news/articleView.html?idxno=341111,이강덕 시장 백신
일요신문,[포항시정] 제10회 수산인의 날 기념식 성료 外,2021.04.01.,https://ilyo.co.kr/?ac=article_view&entry_id=397124,이강덕 시장 백신
뉴스핌,"[종합] 포항·경주, 일반인 고령층 백신접종 준비 완벽 구축",2021.03.18.,http://www.newspim.com/news/view/20210318000837,이강덕 시장 백신
아주경제,"포항시, 코로나19 백신 예방접종 모의훈련 실시",2021.03.18.,http://www.ajunews.com/view/20210318135346129,이강덕 시장 백신
브레이크뉴스,"포항시, 코로나19 백신 예방접종 모의훈련",2021.03.18.,http://www.breaknews.com/793046,이강덕 시장 백신
뉴스1,"[화보]""맞고나니 기분 좋네요""…포항시 75세 이상 화이자 백신 접종 첫날",2021.04.01.,https://www.news1.kr/articles/?4260443,이강덕 시장 백신
내외뉴스통신,"이강덕 포항시장, 실무자들과 사업 현장 동행",2021.01.12.,http://www.nbnnews.co.kr/news/articleView.html?idxno=458036,이강덕 시장 백신
뉴스웨이,"포항시, 지난 5년간 신성장산업 기업투자 6조8천억 유치해",2021-09-08,http://www.newsway.co.kr/news/view?tp=1&ud=2021090717423417010,이강덕 시장 백신
뉴스1,"[화보]포항시, 화이자 백신 접종 정부합동 모의훈련",2021.03.18.,https://www.news1.kr/articles/?4245377,이강덕 시장 백신
아시아투데이,"이강덕 포항시장 ""15일부터 강화된 거리두기 2단계 시행""",2020.12.14.,https://www.asiatoday.co.kr/view.php?key=20201214010008851,이강덕 시장 백신
브레이크뉴스,"포항시, AZ백신 대상자 3천 4백여 명 1차 접종 시작",2021.02.27.,http://www.breaknews.com/788877,이강덕 시장 백신
경북신문,"이강덕 시장, ˝한층 강화된 사회적 거리두기 2단계 시행˝",2020.12.15.,http://www.kbsm.net/default/index_view_page.php?idx=296261&part_idx=320,이강덕 시장 백신
내외뉴스통신,"포항시 북구보건소, 찾아가는 백신 예방접종 실시",2021.03.04.,http://www.nbnnews.co.kr/news/articleView.html?idxno=473942,이강덕 시장 백신
