키워드,언론사,기사명,날짜,URL
일요신문,[포항시정] GS건설과 영일만4일반산단 RE100 투자 MOU 체결 外,2021.07.19.,https://ilyo.co.kr/?ac=article_view&entry_id=407246,이강덕 포항시장 백신
일요신문,[포항시정] 50대 연령층 코로나19 예방접종 사전예약시작 外,2021.07.12.,https://ilyo.co.kr/?ac=article_view&entry_id=406706,이강덕 포항시장 백신
경북도민일보,김부겸 총리 취임 후 첫 포항行,2021.07.21.,http://www.hidomin.com/news/articleView.html?idxno=459202,이강덕 포항시장 백신
매일경제,"""포항, 국내 최대 배터리산단 안착…11개 기업서 2兆 유치""",A28면 1단,http://news.mk.co.kr/newsRead.php?no=680177&year=2021,이강덕 포항시장 백신
일요신문,"[포항시정] 경북도·포항시-포스코케미칼, 6000억 MOU 체결 外",2021.07.08.,https://ilyo.co.kr/?ac=article_view&entry_id=406417,이강덕 포항시장 백신
세계일보,포항 미래 먹거리는 ‘바이오·이차전지’,A12면 1단,http://www.segye.com/content/html/2021/07/18/20210718508325.html?OutUrl=naver,이강덕 포항시장 백신
대구신문,포항·경주 첨단산업시설 잇따라 들어선다,2021.07.21.,http://www.idaegu.co.kr/news/articleView.html?idxno=353262,이강덕 포항시장 백신
프레시안,호미곶 여행자센터 개소...포항 관광 새출발 다짐,2021.07.13.,https://www.pressian.com/pages/articles/2021071217061981975?utm_source=naver&utm_medium=search,이강덕 포항시장 백신
대경일보,"포항시, 호미곶에 여행자센터 개소",2021.07.12.,http://www.dkilbo.com/news/articleView.html?idxno=338637,이강덕 포항시장 백신
일요신문,[포항시정] 안전한 여름 위한 해수욕장 개장 전 현장방문 外,2021.07.08.,https://ilyo.co.kr/?ac=article_view&entry_id=406327,이강덕 포항시장 백신
일요신문,[포항시정] 구룡포 청소년수련원 캠핑장 개장 外,2021.07.06.,https://ilyo.co.kr/?ac=article_view&entry_id=406232,이강덕 포항시장 백신
쿠키뉴스,"포항시, 10일부터 얀센 백신 접종 '시작'",2021.06.09.,http://www.kukinews.com/newsView/kuk202106090192,이강덕 포항시장 백신
대구일보,16일부터 포항 6개 지정해수욕장서 야간 음주 및 취식 금지,2021.07.14.,http://www.idaegu.com/newsView/idg202107140023,이강덕 포항시장 백신
위키트리,"포항, 50대 7월 26일부터 모더나 접종",2021.07.06.,https://www.wikitree.co.kr/articles/666351,이강덕 포항시장 백신
경북일보,"이강덕 시장 ""포항 연구중심의과대학 유치 타당성 건의""",2021.04.14.,http://www.kyongbuk.co.kr/news/articleView.html?idxno=2074276,이강덕 포항시장 백신
일요신문,[포항시정] 코로나 백신 접종 향상 위한 긴급대책회의 진행 外,2021.05.27.,https://ilyo.co.kr/?ac=article_view&entry_id=402468,이강덕 포항시장 백신
경북신문,"베터리 충전하는 `철강의 도시` 포항, 이차전지·바이오·수소 핵심 사업 추진",2021.07.08.,http://www.kbsm.net/default/index_view_page.php?idx=317129&part_idx=332,이강덕 포항시장 백신
일요신문,[포항시정] 3분기 예방접종대상 확대 운영으로 집단면역 구축 外,2021.06.21.,https://ilyo.co.kr/?ac=article_view&entry_id=404766,이강덕 포항시장 백신
일요신문,[포항시정] “걷기 좋은 도시 포항” 맨발학교 포항지회 개소 外,2021.06.22.,https://ilyo.co.kr/?ac=article_view&entry_id=404861,이강덕 포항시장 백신
위키트리,"포항․경주․영천․경산, 7월 1일부터 사적모임 8인까지 허용",2021.06.30.,https://www.wikitree.co.kr/articles/664561,이강덕 포항시장 백신
쿠키뉴스,"[포항소식] 이강덕 시장, 도시재생 뉴딜사업 현장 '점검' 외",2021.03.26.,http://www.kukinews.com/newsView/kuk202103260217,이강덕 포항시장 백신
프라임경제,[프리핑 경북] 포항시 '스마트시티'로 더 큰 포항을 향한 새로운 도약,2021.07.01.,http://www.newsprime.co.kr/news/article.html?no=547904,이강덕 포항시장 백신
뉴스웨이,"이강덕 포항시장, 코로나19 극복 유공자에 감사패 전달",2021.04.05.,http://www.newsway.co.kr/news/view?tp=1&ud=2021040518024667760,이강덕 포항시장 백신
경북매일신문,"대한민국 산업화 이끈 포항, 3대 신성장 동력 장착 큰 걸음",2021.06.22.,http://www.kbmaeil.com/news/articleView.html?idxno=902193,이강덕 포항시장 백신
브레이크뉴스,"이강덕 포항시장, 코로나19 예방접종센터 설치 현장 점검 나서",2021.03.11.,http://www.breaknews.com/791473,이강덕 포항시장 백신
위키트리,포항시 3분기까지 전 시민 70% 이상 1차 접종 목표,2021.06.21.,https://www.wikitree.co.kr/articles/661046,이강덕 포항시장 백신
뉴스1,이강덕 시장 코로나19 백신 안심하세요,2021.04.08.,https://www.news1.kr/photos/view/?4709443,이강덕 포항시장 백신
일요신문,[포항시정] 바이오포항(BP) 포럼 출범…‘K-바이오 랩허브’ 유치 토론 外,2021.06.08.,https://ilyo.co.kr/?ac=article_view&entry_id=403593,이강덕 포항시장 백신
일요신문,[포항시정] 코로나19 확산 방지 지역전파 차단 방역 총력 外,2021.06.23.,https://ilyo.co.kr/?ac=article_view&entry_id=404987,이강덕 포항시장 백신
매일경제,포항 'K바이오 신약 개발 허브' 도전장,A37면 1단,http://news.mk.co.kr/newsRead.php?no=589252&year=2021,이강덕 포항시장 백신
뉴스1,"이강덕 시장, 화이자 백신 접종 안전이 중요",2021.04.01.,https://www.news1.kr/photos/view/?4696204,이강덕 포항시장 백신
프레시안,‘K-바이오 랩허브’ 포항 유치 위해 대구·경북이 공동 대응에 나선다,2021.06.10.,https://www.pressian.com/pages/articles/2021061014510996541?utm_source=naver&utm_medium=search,이강덕 포항시장 백신
국민일보,"그린바이오 산업 키우는 포항시, 9월 식물백신기업지원시설 착공",2019.05.16.,http://news.kmib.co.kr/article/view.asp?arcid=0924078577&code=11131421&cp=nv,이강덕 포항시장 백신
한국경제,‘K-바이오 랩허브’ 포항 유치 위해 대구-경북 공동협력TF 구성 합의,2021.06.11.,https://www.hankyung.com/society/article/202106117896h,이강덕 포항시장 백신
일요신문,"[포항시정] 이강덕 시장, 코로나19 예방접종센터 설치 현장 점검 外",2021.03.11.,https://ilyo.co.kr/?ac=article_view&entry_id=395175,이강덕 포항시장 백신
위키트리,"이강덕 포항시장, 안전한 여름 위한 해수욕장 개장 전 현장 방문",2021.07.07.,https://www.wikitree.co.kr/articles/666726,이강덕 포항시장 백신
쿠키뉴스,포항 18~49세 백신 접종 시작된다,2021.08.05.,http://www.kukinews.com/newsView/kuk202108050112,이강덕 포항시장 백신
브레이크뉴스,"이강덕 포항시장, 시민들 생활 속으로 찾아가는 민생 행보 시작",2021.07.01.,http://www.breaknews.com/817864,이강덕 포항시장 백신
국제뉴스,"이강덕 포항시장 민선7기 3주년, 민생현장 행보로 '시민 곁으로 더 가까이'",2021.07.01.,http://www.gukjenews.com/news/articleView.html?idxno=2257459,이강덕 포항시장 백신
경상매일신문,이강덕 시장 “더 큰 포항 향해 다시 도약”,2021.06.30.,http://www.ksmnews.co.kr/default/index_view_page.php?idx=340869&part_idx=7,이강덕 포항시장 백신
뉴시스,"포항시, 7일부터 개편된 사회적거리두기 시행",2020.11.05.,http://www.newsis.com/view/?id=NISX20201105_0001223979&cID=10810&pID=10800,이강덕 포항시장 백신
전국매일신문,"[민선7기 3주년] 이강덕 포항시장 ""더 큰 포항을 향한 새로운 도약 마련""",2021.07.01.,http://www.jeonmae.co.kr/news/articleView.html?idxno=845976,이강덕 포항시장 백신
일요신문,[포항시정] 사회적 거리두기 3단계 2주간 연장 外,2021.08.09.,https://ilyo.co.kr/?ac=article_view&entry_id=408915,이강덕 포항시장 백신
뉴스웨이,[동정] 이강덕 포항시장(7월 26일),2021.07.25.,http://www.newsway.co.kr/news/view?tp=1&ud=2021072518341631253,이강덕 포항시장 백신
서울경제,"[파워기초단체장에게 듣는다] 이강덕 포항시장 ""철강서 바이오까지···포항...",28면 TOP,https://www.sedaily.com/NewsView/22NPLSBKMW,이강덕 포항시장 백신
경북매일신문,"취임 3년 이강덕 시장 ""더 큰 포항 향해 도약하겠다""",2021.06.30.,http://www.kbmaeil.com/news/articleView.html?idxno=902923,이강덕 포항시장 백신
뉴데일리,"이강덕 포항시장, 안전한 여름 위한 해수욕장 개장 전 방문",2021.07.07.,http://tk.newdaily.co.kr/site/data/html/2021/07/07/2021070700216.html,이강덕 포항시장 백신
NSP통신,"이강덕 포항시장, 민선7기 3주년...어업현장 방문·청년 간담회 등 민생 행보",2021.07.01.,http://www.nspna.com/news/?mode=view&newsid=512104,이강덕 포항시장 백신
뉴시스,"포항시, 7일부터 개편된 사회적거리두기 시행",2020.11.05.,http://www.newsis.com/view/?id=NISX20201105_0001223979&cID=10810&pID=10800,이강덕 포항시장 백신
전국매일신문,"[민선7기 3주년] 이강덕 포항시장 ""더 큰 포항을 향한 새로운 도약 마련""",2021.07.01.,http://www.jeonmae.co.kr/news/articleView.html?idxno=845976,이강덕 포항시장 백신
일요신문,[포항시정] 사회적 거리두기 3단계 2주간 연장 外,2021.08.09.,https://ilyo.co.kr/?ac=article_view&entry_id=408915,이강덕 포항시장 백신
뉴스웨이,[동정] 이강덕 포항시장(7월 26일),2021.07.25.,http://www.newsway.co.kr/news/view?tp=1&ud=2021072518341631253,이강덕 포항시장 백신
서울경제,"[파워기초단체장에게 듣는다] 이강덕 포항시장 ""철강서 바이오까지···포항...",28면 TOP,https://www.sedaily.com/NewsView/22NPLSBKMW,이강덕 포항시장 백신
위키트리,"이강덕 포항시장, 경로당 방문해 코로나19에 지친 어르신들 격려",2021.06.11.,https://www.wikitree.co.kr/articles/657923,이강덕 포항시장 백신
뉴스핌,"태풍 '루핏' 북상...포항시, 비상근무 돌입",2021.08.08.,http://www.newspim.com/news/view/20210808000127,이강덕 포항시장 백신
신아일보,"이강덕 포항시장, “도약의 7년” 민선7기 3주년 기자회견",2021.06.30.,http://www.shinailbo.co.kr/news/articleView.html?idxno=1430224,이강덕 포항시장 백신
신아일보,"이강덕 포항시장, 영일대해수욕장 일원 방문",2021.07.07.,http://www.shinailbo.co.kr/news/articleView.html?idxno=1433284,이강덕 포항시장 백신
데일리한국,"이강덕 포항시장, 3주년 민생현장 행보부터 '시민 곁으로 가까이'",2021.07.01.,https://daily.hankooki.com/lpage/society/202107/dh20210701155012148520.htm?s_ref=nv,이강덕 포항시장 백신
일요신문,[포항시정] 사회적 거리두기 3단계 2주간 연장 外,2021.08.09.,https://ilyo.co.kr/?ac=article_view&entry_id=408915,이강덕 포항시장 백신
뉴스웨이,[동정] 이강덕 포항시장(7월 26일),2021.07.25.,http://www.newsway.co.kr/news/view?tp=1&ud=2021072518341631253,이강덕 포항시장 백신
서울경제,"[파워기초단체장에게 듣는다] 이강덕 포항시장 ""철강서 바이오까지···포항...",28면 TOP,https://www.sedaily.com/NewsView/22NPLSBKMW,이강덕 포항시장 백신
위키트리,"이강덕 포항시장, 경로당 방문해 코로나19에 지친 어르신들 격려",2021.06.11.,https://www.wikitree.co.kr/articles/657923,이강덕 포항시장 백신
뉴스핌,"태풍 '루핏' 북상...포항시, 비상근무 돌입",2021.08.08.,http://www.newspim.com/news/view/20210808000127,이강덕 포항시장 백신
경상매일신문,"<특집>포항시, 신성장산업 앵커기업 유치로 더 큰 지역발전 견인",2021.08.09.,http://www.ksmnews.co.kr/default/index_view_page.php?idx=345261&part_idx=243,이강덕 포항시장 백신
일요신문,"[포항시정] 포항공항, 진에어 취항 이후 이용객 60% 이상↑ 外",2021.08.02.,https://ilyo.co.kr/?ac=article_view&entry_id=408408,이강덕 포항시장 백신
위키트리,"이강덕 포항시장, 경로당 방문해 코로나19에 지친 어르신들 격려",2021.06.11.,https://www.wikitree.co.kr/articles/657923,이강덕 포항시장 백신
뉴스핌,"태풍 '루핏' 북상...포항시, 비상근무 돌입",2021.08.08.,http://www.newspim.com/news/view/20210808000127,이강덕 포항시장 백신
경상매일신문,"<특집>포항시, 신성장산업 앵커기업 유치로 더 큰 지역발전 견인",2021.08.09.,http://www.ksmnews.co.kr/default/index_view_page.php?idx=345261&part_idx=243,이강덕 포항시장 백신
일요신문,"[포항시정] 포항공항, 진에어 취항 이후 이용객 60% 이상↑ 外",2021.08.02.,https://ilyo.co.kr/?ac=article_view&entry_id=408408,이강덕 포항시장 백신
대경일보,"이강덕 포항시장, 경로당 방문해 코로나19에 지친 어르신들 격려",2021.06.10.,http://www.dkilbo.com/news/articleView.html?idxno=335911,이강덕 포항시장 백신
일요신문,[포항시정] 코로나19 대응 관련 긴급종합 대책회의 개최 外,2021.08.05.,https://ilyo.co.kr/?ac=article_view&entry_id=408674,이강덕 포항시장 백신
프레시안,"포항시, 성숙한 시민의식으로 코로나19 극복 동참",2021.08.09.,https://www.pressian.com/pages/articles/2021080915482694129?utm_source=naver&utm_medium=search,이강덕 포항시장 백신
일요신문,[포항시정] 75세 이상 어르신 81% 화이자백신 접종 마쳐 外,2021.06.29.,https://ilyo.co.kr/?ac=article_view&entry_id=405550,이강덕 포항시장 백신
국제뉴스,"포항시, 최근 5년간 투자유치 4조9천억 원 사상 최대 성과 지역경제 재도약 구...",2021.08.03.,http://www.gukjenews.com/news/articleView.html?idxno=2279903,이강덕 포항시장 백신
경북신문,이강덕 시장 ˝시민들의 목소리 시정 적극 반영하겠다˝,2021.07.01.,http://www.kbsm.net/default/index_view_page.php?idx=316395&part_idx=320,이강덕 포항시장 백신
프레시안,"포항시, 성숙한 시민의식으로 코로나19 극복 동참",2021.08.09.,https://www.pressian.com/pages/articles/2021080915482694129?utm_source=naver&utm_medium=search,이강덕 포항시장 백신
일요신문,[포항시정] 75세 이상 어르신 81% 화이자백신 접종 마쳐 外,2021.06.29.,https://ilyo.co.kr/?ac=article_view&entry_id=405550,이강덕 포항시장 백신
국제뉴스,"포항시, 최근 5년간 투자유치 4조9천억 원 사상 최대 성과 지역경제 재도약 구...",2021.08.03.,http://www.gukjenews.com/news/articleView.html?idxno=2279903,이강덕 포항시장 백신
경북신문,이강덕 시장 ˝시민들의 목소리 시정 적극 반영하겠다˝,2021.07.01.,http://www.kbsm.net/default/index_view_page.php?idx=316395&part_idx=320,이강덕 포항시장 백신
프레시안,"포항시, 75세 이상 어르신 백신접종 대상자 80.7% 접종 완료",2021.06.30.,https://www.pressian.com/pages/articles/2021062915380708511?utm_source=naver&utm_medium=search,이강덕 포항시장 백신
데일리한국,"포항시, 75세 이상 어르신 '81% 화이자 백신 접종' 마쳐",2021.06.29.,https://daily.hankooki.com/lpage/society/202106/dh20210629163516148520.htm?s_ref=nv,이강덕 포항시장 백신
중도일보,포항의 '저력'… 5년간 4.9兆 투자유치 일궈냈다,2021.08.04.,http://www.joongdo.co.kr/web/view.php?key=20210803010000779,이강덕 포항시장 백신
브레이크뉴스,"포항시, 최근 5년 투자유치 4조9천억 원 최다 성과",2021.08.03.,http://www.breaknews.com/824831,이강덕 포항시장 백신
BBS NEWS,김부겸 총리 취임 후 첫 경북 방문...포항 죽도시장 코로나19 방역 점검,2021.07.21.,https://news.bbsi.co.kr/news/articleView.html?idxno=3039058,이강덕 포항시장 백신
프라임경제,"[브리핑 경북] 영덕군, 전통시장 화재 복구에 전 행정력 집중",2021-09-07,http://www.newsprime.co.kr/news/article.html?no=552259,이강덕 포항시장 백신
경북신문,이강덕 시장 ˝시민들의 목소리 시정 적극 반영하겠다˝,2021.07.01.,http://www.kbsm.net/default/index_view_page.php?idx=316395&part_idx=320,이강덕 포항시장 백신
프레시안,"포항시, 75세 이상 어르신 백신접종 대상자 80.7% 접종 완료",2021.06.30.,https://www.pressian.com/pages/articles/2021062915380708511?utm_source=naver&utm_medium=search,이강덕 포항시장 백신
데일리한국,"포항시, 75세 이상 어르신 '81% 화이자 백신 접종' 마쳐",2021.06.29.,https://daily.hankooki.com/lpage/society/202106/dh20210629163516148520.htm?s_ref=nv,이강덕 포항시장 백신
중도일보,포항의 '저력'… 5년간 4.9兆 투자유치 일궈냈다,2021.08.04.,http://www.joongdo.co.kr/web/view.php?key=20210803010000779,이강덕 포항시장 백신
프레시안,5년 투자유치 4조9천억 최다...포항시 신성장 도시로 비상,2021.08.03.,https://www.pressian.com/pages/articles/2021080311543002746?utm_source=naver&utm_medium=search,이강덕 포항시장 백신
브레이크뉴스,"포항시, 최근 5년 투자유치 4조9천억 원 최다 성과",2021.08.03.,http://www.breaknews.com/824831,이강덕 포항시장 백신
